Source IP,total_flows,anomaly_flows,mean_score,min_score,unique_dest,bytes_sent,bytes_received,first_seen,last_seen,anomaly_ratio,active_duration,ratio_norm,flow_norm,risk_score,apt_flag
 192.168.10.134 ,5,0,-0.051872315654880395,-0.07380661776599107,5,82524,97699,2025-01-01 13:27:36,2025-01-01 13:45:20,0.0,1064.0,0.0,0.0,0.0,0
 192.168.10.16  ,38,0,0.08030160435837314,-0.04686089017436701,38,4131,0,2025-01-01 12:09:48,2025-01-01 12:10:14,0.0,26.0,0.0,0.0,0.0,0
 192.168.10.192 ,7,1,-0.09884251790950668,-0.2465794570567985,7,4389867,3562876,2025-01-01 17:46:20,2025-01-01 18:05:05,0.14285714285714285,1125.0,0.14285700000014287,0.041666664930555625,0.1124998994792667,0
 192.168.10.194 ,72,0,0.08018234817627236,-0.04400840192401012,40,8805,2812,2025-01-01 07:20:55,2025-01-01 21:53:58,0.0,52383.0,0.0,0.0,0.0,0
 192.168.10.214 ,8,1,-0.08007564345129597,-0.23185368326831624,8,298875,4136994,2025-01-01 16:11:44,2025-01-01 16:20:43,0.125,539.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.10.221 ,18,2,-0.0778322291508936,-0.24464539322897372,18,3757829,1579796,2025-01-01 01:33:16,2025-01-01 01:53:17,0.1111111111111111,1201.0,0.11111100000011112,0.08333332986111125,0.10277769895841116,0
 192.168.10.230 ,3,0,-0.04792863197040331,-0.07754865379479192,3,49205,40926,2025-01-01 16:01:52,2025-01-01 16:04:27,0.0,155.0,0.0,0.0,0.0,0
 192.168.10.25  ,3,0,-0.059594333982264804,-0.07928497451012251,3,47601,49075,2025-01-01 02:25:38,2025-01-01 02:25:56,0.0,18.0,0.0,0.0,0.0,0
 192.168.10.33  ,10,2,-0.08668497421452673,-0.25040190492623404,10,1181949,3112088,2025-01-01 03:54:49,2025-01-01 04:09:44,0.2,895.0,0.19999980000020004,0.08333332986111125,0.1649998589584734,0
 192.168.10.6   ,25,21,-0.13238734142477301,-0.17187545516431801,1,3031346,70922,2025-01-01 14:38:32,2025-01-01 14:54:48,0.84,976.0,0.8399991600008401,0.8749999635416682,0.8504994010630884,1
 192.168.10.72  ,10,3,-0.09216993552347864,-0.24744704918241345,10,4763269,748144,2025-01-01 05:49:37,2025-01-01 06:09:08,0.3,1171.0,0.2999997000003,0.12499999479166687,0.24749978843771006,0
 192.168.10.92  ,5,2,-0.09765299477389142,-0.24438668697987898,5,3041597,4316493,2025-01-01 01:35:22,2025-01-01 01:45:22,0.4,600.0,0.3999996000004001,0.08333332986111125,0.30499971895861344,0
 192.168.100.108,4,0,-0.04937075561320872,-0.07754734634703808,4,68546,53675,2025-01-01 05:12:31,2025-01-01 05:21:40,0.0,549.0,0.0,0.0,0.0,0
 192.168.100.13 ,10,4,-0.08550986464253267,-0.2513265805125531,10,784204,3784046,2025-01-01 02:16:18,2025-01-01 02:42:23,0.4,1565.0,0.3999996000004001,0.1666666597222225,0.3299997179169468,0
 192.168.100.152,10,2,-0.08468416547198875,-0.25742976469370815,10,1459910,2042339,2025-01-01 07:39:02,2025-01-01 07:46:14,0.2,432.0,0.19999980000020004,0.08333332986111125,0.1649998589584734,0
 192.168.100.165,15,2,-0.06972189379912797,-0.14464835501655338,15,240490,189341,2025-01-01 04:59:42,2025-01-01 17:01:38,0.13333333333333333,43316.0,0.13333320000013335,0.08333332986111125,0.1183332389584267,0
 192.168.100.167,15,14,-0.13385509771766527,-0.16417351828451876,1,1887376,47520,2025-01-01 06:19:16,2025-01-01 06:38:20,0.9333333333333333,1144.0,0.9333324000009334,0.5833333090277788,0.828332672708987,1
 192.168.100.17 ,10,3,-0.08104424298670333,-0.2647685731567585,10,5280686,4085854,2025-01-01 12:23:13,2025-01-01 12:34:31,0.3,678.0,0.2999997000003,0.12499999479166687,0.24749978843771006,0
 192.168.100.170,13,12,-0.13331155861160934,-0.1571781025253629,1,1498478,33681,2025-01-01 08:23:00,2025-01-01 08:50:13,0.9230769230769231,1633.0,0.9230760000009232,0.4999999791666675,0.7961531937506464,1
 192.168.100.183,9,2,-0.08469665869017035,-0.24959767469166405,9,2777061,4760863,2025-01-01 12:41:33,2025-01-01 12:47:55,0.2222222222222222,382.0,0.22222200000022224,0.08333332986111125,0.18055539895848893,0
 192.168.100.215,7,2,-0.07130626274496525,-0.21616928205066444,7,443932,804098,2025-01-01 12:47:08,2025-01-01 12:52:08,0.2857142857142857,300.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.100.227,4,2,-0.13149129524272882,-0.25948708062418235,4,5064145,3408339,2025-01-01 02:59:11,2025-01-01 03:09:11,0.5,600.0,0.49999950000050003,0.08333332986111125,0.3749996489586834,0
 192.168.100.30 ,21,0,0.08123759243200752,0.04714990967450072,1,2770,1849,2025-01-01 17:40:35,2025-01-01 17:57:35,0.0,1020.0,0.0,0.0,0.0,0
 192.168.100.45 ,25,10,-0.09390079900009855,-0.26614904897641467,25,12269664,12438691,2025-01-01 07:30:16,2025-01-01 08:07:43,0.4,2247.0,0.3999996000004001,0.41666664930555625,0.40499971479194696,0
 192.168.100.72 ,21,6,-0.06904650507788625,-0.2666329771540693,21,6004044,5157180,2025-01-01 19:35:56,2025-01-01 19:55:41,0.2857142857142857,1185.0,0.28571400000028574,0.24999998958333375,0.27499979687520015,0
 192.168.100.89 ,24,0,0.0724452179180685,0.031505098664461606,1,3443,2325,2025-01-01 01:50:53,2025-01-01 02:13:53,0.0,1380.0,0.0,0.0,0.0,0
 192.168.101.120,18,5,-0.07851094649986252,-0.2599132324803861,18,3358450,3464677,2025-01-01 06:08:35,2025-01-01 06:36:17,0.2777777777777778,1662.0,0.2777775000002778,0.20833332465277812,0.2569442473960279,0
 192.168.101.133,43,0,0.08711865107223055,-0.02196846031263111,43,4667,0,2025-01-01 23:57:33,2025-01-01 23:58:23,0.0,50.0,0.0,0.0,0.0,0
 192.168.101.135,4,1,-0.060732733955667806,-0.12086834811603886,4,65824,54773,2025-01-01 10:19:14,2025-01-01 10:29:12,0.25,598.0,0.24999975000025002,0.041666664930555625,0.1874998244793417,0
 192.168.101.148,9,2,-0.07002076871288282,-0.12860738858640897,9,175684,91994,2025-01-01 06:38:13,2025-01-01 06:52:18,0.2222222222222222,845.0,0.22222200000022224,0.08333332986111125,0.18055539895848893,0
 192.168.101.190,5,1,-0.08075547034846428,-0.26561244168889997,5,3737597,1117992,2025-01-01 06:14:14,2025-01-01 06:23:40,0.2,566.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.101.193,8,1,-0.059898617106912744,-0.11094313445692183,8,104225,107336,2025-01-01 15:40:43,2025-01-01 15:45:47,0.125,304.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.101.200,56,0,0.0856042193464667,-0.0372562906742524,56,5630,0,2025-01-01 17:39:09,2025-01-01 17:40:02,0.0,53.0,0.0,0.0,0.0,0
 192.168.101.215,32,0,0.07356401134117804,0.0365137836280669,1,4565,2815,2025-01-01 06:37:07,2025-01-01 07:06:07,0.0,1740.0,0.0,0.0,0.0,0
 192.168.101.220,57,0,0.07535723740329851,-0.03670075765402103,57,5637,0,2025-01-01 01:40:56,2025-01-01 01:42:11,0.0,75.0,0.0,0.0,0.0,0
 192.168.101.227,27,9,-0.08333679219639348,-0.2376122321174703,27,5019597,564701,2025-01-01 08:24:09,2025-01-01 09:13:10,0.3333333333333333,2941.0,0.33333300000033333,0.37499998437500065,0.34583309531273354,0
 192.168.101.248,3,0,-0.054190862977243105,-0.08081210407840411,3,53952,37783,2025-01-01 23:03:51,2025-01-01 23:12:43,0.0,532.0,0.0,0.0,0.0,0
 192.168.101.47 ,7,2,-0.07009373453945435,-0.12498008968866026,7,98406,90471,2025-01-01 09:02:07,2025-01-01 09:10:49,0.2857142857142857,522.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.101.53 ,25,3,-0.06873409595417575,-0.2503700181216082,25,2913956,3779295,2025-01-01 04:54:30,2025-01-01 05:25:27,0.12,1857.0,0.11999988000012,0.12499999479166687,0.12149991443758407,0
 192.168.101.55 ,4,1,-0.08747888769480924,-0.2307628002165527,4,1387886,689298,2025-01-01 23:48:08,2025-01-01 23:50:55,0.25,167.0,0.24999975000025002,0.041666664930555625,0.1874998244793417,0
 192.168.101.94 ,15,10,-0.12028348828011538,-0.16738189384441626,4,1720789,72037,2025-01-01 02:36:43,2025-01-01 17:05:17,0.6666666666666666,52114.0,0.6666660000006667,0.41666664930555625,0.5916661947921336,1
 192.168.102.0  ,29,9,-0.09795708239938496,-0.26937632817454327,29,13506775,14012916,2025-01-01 14:02:22,2025-01-01 14:41:58,0.3103448275862069,2376.0,0.3103445172416897,0.37499998437500065,0.32974115738168297,0
 192.168.102.119,6,1,-0.05592048701795895,-0.11913178764791921,6,76465,56120,2025-01-01 07:35:50,2025-01-01 07:44:09,0.16666666666666666,499.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.102.167,13,11,-0.13329978169094742,-0.16431657158033708,1,1473637,35771,2025-01-01 03:33:12,2025-01-01 03:45:18,0.8461538461538461,726.0,0.8461530000008463,0.4583333142361119,0.729807094271426,1
 192.168.102.200,5,0,-0.026129216626575635,-0.07448131262249436,5,72310,65677,2025-01-01 00:50:33,2025-01-01 00:55:15,0.0,282.0,0.0,0.0,0.0,0
 192.168.102.203,22,0,0.08267299554729196,0.04714271328405634,1,2983,1941,2025-01-01 11:34:09,2025-01-01 11:52:09,0.0,1080.0,0.0,0.0,0.0,0
 192.168.102.208,3,0,-0.027712511390602528,-0.04537365965826512,3,27684,11214,2025-01-01 01:26:50,2025-01-01 01:26:50,0.0,0.0,0.0,0.0,0.0,0
 192.168.102.236,7,2,-0.08367946869016114,-0.12150088749551591,7,117334,117182,2025-01-01 10:36:17,2025-01-01 10:47:34,0.2857142857142857,677.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.102.51 ,5,2,-0.08801185492624966,-0.24825751462009404,5,1284267,2837342,2025-01-01 05:22:27,2025-01-01 05:26:32,0.4,245.0,0.3999996000004001,0.08333332986111125,0.30499971895861344,0
 192.168.102.55 ,8,1,-0.08306967077467937,-0.252511265399356,8,1944183,3646854,2025-01-01 13:00:05,2025-01-01 13:11:42,0.125,697.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.102.74 ,4,2,-0.09575289268803183,-0.134872144535643,4,93400,72810,2025-01-01 19:54:16,2025-01-01 20:04:00,0.5,584.0,0.49999950000050003,0.08333332986111125,0.3749996489586834,0
 192.168.102.93 ,39,0,0.07299802849995889,0.04308392789187715,1,5647,3723,2025-01-01 19:14:13,2025-01-01 19:49:13,0.0,2100.0,0.0,0.0,0.0,0
 192.168.103.101,32,0,0.07185091911577571,0.04054704361550293,1,4851,3086,2025-01-01 17:22:16,2025-01-01 17:51:16,0.0,1740.0,0.0,0.0,0.0,0
 192.168.103.116,8,3,-0.11999497296388066,-0.25100051424776804,8,10657940,7417122,2025-01-01 00:06:57,2025-01-01 00:23:46,0.375,1009.0,0.37499962500037504,0.12499999479166687,0.2999997359377626,0
 192.168.103.123,10,3,-0.1010005857924757,-0.24952903775229718,10,5252617,4641896,2025-01-01 07:17:08,2025-01-01 07:26:34,0.3,566.0,0.2999997000003,0.12499999479166687,0.24749978843771006,0
 192.168.103.15 ,9,3,-0.0942127081327892,-0.24244308198684705,9,5482590,1073942,2025-01-01 07:31:00,2025-01-01 07:44:56,0.3333333333333333,836.0,0.33333300000033333,0.12499999479166687,0.2708330984377334,0
 192.168.103.157,8,1,-0.05872804233747149,-0.10095901763053117,8,119148,74864,2025-01-01 12:10:43,2025-01-01 12:26:09,0.125,926.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.103.184,8,2,-0.10544165359148439,-0.2600306426535952,8,4270686,6005818,2025-01-01 20:13:00,2025-01-01 20:26:18,0.25,798.0,0.24999975000025002,0.08333332986111125,0.19999982395850838,0
 192.168.103.201,6,3,-0.08607205506325233,-0.1545832896155377,6,88650,72295,2025-01-01 04:32:01,2025-01-01 04:43:26,0.5,685.0,0.49999950000050003,0.12499999479166687,0.38749964843785006,0
 192.168.103.221,30,0,0.07658285496889154,0.03651745778984378,1,4083,2630,2025-01-01 01:52:28,2025-01-01 02:17:28,0.0,1500.0,0.0,0.0,0.0,0
 192.168.103.225,7,0,-0.06621802310933216,-0.09438326302772482,7,105350,88294,2025-01-01 22:48:44,2025-01-01 23:05:22,0.0,998.0,0.0,0.0,0.0,0
 192.168.103.240,24,0,0.06713216009245872,0.0273654961308471,1,3594,2479,2025-01-01 04:30:28,2025-01-01 04:53:28,0.0,1380.0,0.0,0.0,0.0,0
 192.168.103.248,4,0,-0.04171598453819231,-0.05757906632322618,4,49374,59794,2025-01-01 19:48:05,2025-01-01 19:49:33,0.0,88.0,0.0,0.0,0.0,0
 192.168.103.28 ,6,2,-0.11607440558145983,-0.25296600503806854,6,932554,5852992,2025-01-01 01:52:51,2025-01-01 02:05:29,0.3333333333333333,758.0,0.33333300000033333,0.08333332986111125,0.2583330989585667,0
 192.168.103.51 ,8,3,-0.06227851384004125,-0.1261862539493115,8,112575,94095,2025-01-01 09:30:29,2025-01-01 09:43:44,0.375,795.0,0.37499962500037504,0.12499999479166687,0.2999997359377626,0
 192.168.103.55 ,8,1,-0.060215312281208966,-0.12426497648946166,8,125489,143188,2025-01-01 20:27:44,2025-01-01 20:36:24,0.125,520.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.103.6  ,10,1,-0.07591388418561197,-0.2405720856571847,10,781054,4390538,2025-01-01 20:22:15,2025-01-01 20:43:54,0.1,1299.0,0.09999990000010002,0.041666664930555625,0.0824999294792367,0
 192.168.103.96 ,10,3,-0.11005264728829808,-0.26198334435606496,10,4900029,4949281,2025-01-01 03:34:13,2025-01-01 03:48:09,0.3,836.0,0.2999997000003,0.12499999479166687,0.24749978843771006,0
 192.168.104.107,5,2,-0.11745401321216331,-0.24940904822372945,5,8780566,5818756,2025-01-01 20:34:52,2025-01-01 20:41:11,0.4,379.0,0.3999996000004001,0.08333332986111125,0.30499971895861344,0
 192.168.104.111,7,0,-0.06718667091138977,-0.08813604301593414,7,134067,97467,2025-01-01 22:07:14,2025-01-01 22:11:50,0.0,276.0,0.0,0.0,0.0,0
 192.168.104.128,10,1,-0.05204177138116826,-0.25256216541806586,10,2523378,2560047,2025-01-01 07:35:26,2025-01-01 08:01:42,0.1,1576.0,0.09999990000010002,0.041666664930555625,0.0824999294792367,0
 192.168.104.156,5,0,-0.03673956625844273,-0.06539892405466508,5,73368,48990,2025-01-01 01:57:42,2025-01-01 02:04:28,0.0,406.0,0.0,0.0,0.0,0
 192.168.104.164,7,1,-0.07219180778016594,-0.247785898770578,7,4012367,2791309,2025-01-01 10:18:18,2025-01-01 10:24:49,0.14285714285714285,391.0,0.14285700000014287,0.041666664930555625,0.1124998994792667,0
 192.168.104.195,6,1,-0.06536553496313979,-0.10877809403719296,6,92098,61648,2025-01-01 22:20:02,2025-01-01 22:29:34,0.16666666666666666,572.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.104.208,23,0,0.07922746381121475,0.04595517944132521,1,3273,1907,2025-01-01 06:11:53,2025-01-01 06:31:53,0.0,1200.0,0.0,0.0,0.0,0
 192.168.104.219,40,0,0.07261990719671298,0.022130031382714077,1,5440,3555,2025-01-01 19:30:45,2025-01-01 20:07:45,0.0,2220.0,0.0,0.0,0.0,0
 192.168.104.232,5,1,-0.08077833474062752,-0.13632956655091433,5,97120,115221,2025-01-01 14:30:44,2025-01-01 14:40:07,0.2,563.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.104.237,8,1,-0.06332007810817554,-0.1056460040491558,8,50385,157229,2025-01-01 23:28:31,2025-01-01 23:41:36,0.125,785.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.104.38 ,10,0,-0.052641783673412955,-0.0871941913207186,10,188166,101199,2025-01-01 21:30:10,2025-01-01 21:36:46,0.0,396.0,0.0,0.0,0.0,0
 192.168.104.4  ,6,0,-0.02911924675733994,-0.06860179606374472,6,80589,59166,2025-01-01 01:50:45,2025-01-01 01:59:27,0.0,522.0,0.0,0.0,0.0,0
 192.168.104.48 ,26,0,0.0786959629519315,0.047020944081115956,1,3495,2523,2025-01-01 16:42:14,2025-01-01 17:07:14,0.0,1500.0,0.0,0.0,0.0,0
 192.168.104.49 ,5,1,-0.0886990782338644,-0.24557807703975243,5,2269272,4010456,2025-01-01 23:58:05,2025-01-02 00:12:12,0.2,847.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.104.66 ,6,2,-0.10438146678076489,-0.2490179969786317,6,4456790,2502550,2025-01-01 14:37:44,2025-01-01 14:41:55,0.3333333333333333,251.0,0.33333300000033333,0.08333332986111125,0.2583330989585667,0
 192.168.104.72 ,23,21,-0.12697931729333406,-0.15299890932659288,1,2411755,72981,2025-01-01 14:52:49,2025-01-01 15:34:00,0.9130434782608695,2471.0,0.9130425652183044,0.8749999635416682,0.9016297847153134,1
 192.168.104.90 ,9,3,-0.07560853213218845,-0.13161873365668675,9,155821,135319,2025-01-01 17:21:06,2025-01-01 17:27:07,0.3333333333333333,361.0,0.33333300000033333,0.12499999479166687,0.2708330984377334,0
 192.168.104.96 ,25,23,-0.13538061679834698,-0.17524804806426963,1,3222033,68351,2025-01-01 10:37:39,2025-01-01 11:23:12,0.92,2733.0,0.9199990800009201,0.9583332934027794,0.9314993440214778,1
 192.168.105.110,30,8,-0.09580072786451982,-0.25492694260954096,30,10252282,10739715,2025-01-01 06:13:31,2025-01-01 06:49:32,0.26666666666666666,2161.0,0.2666664000002667,0.333333319444445,0.2866664758335202,0
 192.168.105.132,5,0,-0.058090970522338026,-0.09440110742613472,5,94937,62466,2025-01-01 16:02:07,2025-01-01 16:06:19,0.0,252.0,0.0,0.0,0.0,0
 192.168.105.149,3,2,-0.09119810041947825,-0.11412976811981834,3,3923230,58845,2025-01-01 04:10:16,2025-01-01 04:14:19,0.6666666666666666,243.0,0.6666660000006667,0.08333332986111125,0.49166619895880004,1
 192.168.105.179,9,1,-0.06097293430821914,-0.14134285116125944,9,124989,164224,2025-01-01 08:40:32,2025-01-01 08:54:06,0.1111111111111111,814.0,0.11111100000011112,0.041666664930555625,0.09027769947924447,0
 192.168.105.182,5,1,-0.05600250545410936,-0.10886411224017123,5,46068,72850,2025-01-01 20:18:51,2025-01-01 20:22:22,0.2,211.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.105.214,8,1,-0.06968254072429465,-0.14115932868793557,8,99397,120507,2025-01-01 12:58:14,2025-01-01 13:05:31,0.125,437.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
 192.168.105.220,7,2,-0.06418519846303235,-0.1123674089928638,7,110480,70713,2025-01-01 01:40:15,2025-01-01 01:50:47,0.2857142857142857,632.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.105.54 ,3,0,-0.028371009746517035,-0.04856906261197502,3,46527,9744,2025-01-01 20:17:42,2025-01-01 20:28:02,0.0,620.0,0.0,0.0,0.0,0
 192.168.105.80 ,7,4,-0.13536446577566066,-0.2529666025753924,7,5214136,6011207,2025-01-01 23:58:47,2025-01-02 00:10:12,0.5714285714285714,685.0,0.5714280000005715,0.1666666597222225,0.4499995979170668,1
 192.168.105.81 ,5,1,-0.05392647416279912,-0.12445123827752258,5,83331,86165,2025-01-01 22:48:44,2025-01-01 22:51:54,0.2,190.0,0.19999980000020004,0.041666664930555625,0.15249985947930672,0
 192.168.105.99 ,10,4,-0.10180328241706578,-0.25298485031230156,10,1413565,3903757,2025-01-01 12:18:15,2025-01-01 12:42:17,0.4,1442.0,0.3999996000004001,0.1666666597222225,0.3299997179169468,0
 192.168.106.1  ,7,2,-0.08549565476884691,-0.2548715085531612,7,5026010,4097331,2025-01-01 18:02:35,2025-01-01 18:13:23,0.2857142857142857,648.0,0.28571400000028574,0.08333332986111125,0.2249997989585334,0
 192.168.106.127,6,1,-0.0982807763585687,-0.24807850286586552,6,2261826,2753750,2025-01-01 16:56:54,2025-01-01 17:07:38,0.16666666666666666,644.0,0.16666650000016667,0.041666664930555625,0.12916654947928335,0
 192.168.106.130,4,1,-0.04181606567581139,-0.13607487980465416,4,34692,43969,2025-01-01 08:35:23,2025-01-01 08:41:57,0.25,394.0,0.24999975000025002,0.041666664930555625,0.1874998244793417,0
 192.168.106.131,8,2,-0.09612881709689149,-0.26120872277881735,8,8234163,6005599,2025-01-01 14:44:48,2025-01-01 15:00:36,0.25,948.0,0.24999975000025002,0.08333332986111125,0.19999982395850838,0
 192.168.106.133,6,2,-0.08340430268026605,-0.2438162979503723,6,1841235,4313595,2025-01-01 12:09:03,2025-01-01 12:15:57,0.3333333333333333,414.0,0.33333300000033333,0.08333332986111125,0.2583330989585667,0
 192.168.106.14 ,6,0,-0.04070616414834791,-0.07135030684910904,6,71558,94226,2025-01-01 14:34:13,2025-01-01 14:43:40,0.0,567.0,0.0,0.0,0.0,0
 192.168.106.170,10,1,-0.05809890831981812,-0.12986362422972186,10,144310,129351,2025-01-01 12:14:01,2025-01-01 12:28:04,0.1,843.0,0.09999990000010002,0.041666664930555625,0.0824999294792367,0
 192.168.106.184,23,20,-0.13264423151118312,-0.16575175802970465,1,3057775,66864,2025-01-01 04:52:25,2025-01-01 05:25:26,0.8695652173913043,1981.0,0.8695643478269566,0.8333332986111125,0.8586950330622034,1
 192.168.106.226,6,0,-0.0457140696892949,-0.08120540533179987,6,76331,107970,2025-01-01 04:09:07,2025-01-01 04:14:56,0.0,349.0,0.0,0.0,0.0,0
 192.168.106.254,10,4,-0.0934985246116823,-0.2529198979316599,10,1446928,3510546,2025-01-01 13:26:15,2025-01-01 13:36:19,0.4,604.0,0.3999996000004001,0.1666666597222225,0.3299997179169468,0
 192.168.106.35 ,8,1,-0.0785247613639898,-0.23511201502616885,8,3743998,942750,2025-01-01 17:54:27,2025-01-01 18:07:55,0.125,808.0,0.12499987500012501,0.041666664930555625,0.09999991197925419,0
