ip,verdict,risk_score,risk_level,reason,if_score,svm_score,label
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5595500718489421,-0.00022248516437312147,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5558754153038401,0.0006425758131966903,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5558754153038401,0.0006425758131966903,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5736492879475636,0.0001433362976720165,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.510687931661364,0.00015487594167443898,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.471430978451756,-2.7889159053431846e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5330416813699677,-0.00022483351434137615,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6549758414738935,0.00062963536523401,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5408161146981515,0.00018951529292293907,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5408161146981515,0.00018951529292293907,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49189492700140786,0.00015975267643504994,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5366524633459935,-3.412598801668819e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5335904838788883,0.0006382389783892526,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5500299034368906,-0.0002235700484868225,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079557862249875,0.0001994229308803237,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49725531273482515,0.00019555544418827203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.48124340603458216,0.0001649140393042587,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5553417029348728,-0.0002230136263043853,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5034157248186567,0.0001962534545382525,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6208517567880204,0.000633187810855067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5048847136573229,0.00019677048104466767,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5048847136573229,0.00019677048104466767,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5574274875300239,-0.0002227170462468617,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5595525405374033,0.000636383448911073,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4909667847155479,0.00019435393367049086,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5819871308207608,0.00013748826000338537,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.48839132586611633,0.0001690729576455568,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5526129504646587,-0.00022339519836757523,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5067345961585124,0.0002035967407489124,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5439824329781074,-0.00022899925819954944,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.539738377737038,0.0006376628989962023,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.523138656008504,-0.0002257441294661361,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5276618300450361,-0.00022526357309288376,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4905636388141786,0.0001602389065461597,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49453141096765935,-2.7105620731383753e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4868519827240332,0.0001673610705723702,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.471430978451756,-2.7889159053431846e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.570153100036217,-0.0002306254074411735,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.541967083974425,0.0006417391609775028,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.541967083974425,0.0006417391609775028,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5269294132855522,-0.00022643965306644504,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5260771281002565,-0.0002261618657197215,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5260771281002565,-0.0002261618657197215,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5357458013757492,0.00020689969225561736,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.48140623492635004,0.00016472811529373113,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Anomalous,85.0,Critical,Behavioral (High Confidence - iForest & SVM),-0.5969109220583867,-0.00023155984475595464,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5616910916134537,0.0006428947036763331,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5616910916134537,0.0006428947036763331,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49527065200617904,0.00019285595568317444,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49527065200617904,0.00019285595568317444,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5541558708552526,0.0001784876655725817,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.471430978451756,-2.7889159053431846e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.471430978451756,-2.7889159053431846e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4837263424130499,0.00016255115395323523,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5861020562844513,-0.00022086448757812607,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5409500455429781,-0.00022413820846491983,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.471430978451756,-2.7889159053431846e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.478561606818877,-2.8220176548290497e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.478561606818877,-2.8220176548290497e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5116643141121139,0.00020405443407709722,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5116643141121139,0.00020405443407709722,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5367655130868325,0.000641405880669523,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5637883730557244,-0.00023023209814252463,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5637883730557244,-0.00023023209814252463,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5665030597588281,0.0006431347637907466,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5665030597588281,0.0006431347637907466,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.49800952511422203,0.0001926609343828835,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4751925340707303,-3.123060501581472e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231907648582651,0.0003890009749218299,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5204976630284542,0.0001910924147585834,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5387547856320319,-0.00022866111981473041,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6027472650976622,0.00064464257975483,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6027472650976622,0.00064464257975483,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5922682604725151,9.14876613978516e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.0007435493777769005,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5285778176667901,0.0006407916942379951,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5204976630284542,0.0001910924147585834,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4911014381777131,0.0001705870873668854,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5616326375974127,-1.8862748862117902e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5842292404499748,0.0006351627396149358,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5213568717849518,0.0002673242651273126,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4984902959476562,0.00015659698984618332,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5257969356846703,-0.00022549955139761517,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6033592914381338,0.0006446837363098768,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Anomalous,85.0,Critical,Behavioral (High Confidence - iForest & SVM),-0.6063382039631381,-0.00021974177275093244,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5376648398911753,0.0006378420187081585,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.551856106118599,0.0001782044657214279,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5042169607229811,0.0003618420215072604,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5079440598253637,0.000310965547841203,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Anomalous,85.0,Critical,Behavioral (High Confidence - iForest & SVM),-0.6116669468075244,-0.0002322565959328982,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5065049228339721,1.5119472692475726e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5231792230919201,0.00019096793509527617,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4825934889489703,5.342703071706045e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4751925340707303,-3.123060501581472e-05,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5299289954651021,-0.000225050701492666,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (iForest Only),-0.6628126853543687,0.0018510401072811067,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4987189022307981,0.0001957174000305926,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.48536747836305366,0.0001617296170945175,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.48536747836305366,0.0001617296170945175,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4672786454261322,-3.1173082282489315e-05,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5322269445899771,0.0006384955937684554,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5589949556278161,0.000775945754991312,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.4738376474472222,0.000743549377776902,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5179258640167759,0.0001913036724521018,Normal
127.0.0.1,Normal,0.0,None,Clean,-0.5421979119639424,0.0005812334481877267,Normal
127.0.0.1,Suspicious,65.0,High,Behavioral (One-Class SVM Only),-0.5892009744286946,-0.00023125086164913703,Normal
