session_id,parent_tracking_id,markov_threat_score,sequence_summary,anomaly_reasons
10.143.3.65_20220122103403_000000,10.143.3.65_20220122103403_000000,2.01,GENERIC_GET -> DYNAMIC_QUERY -> ADMIN_ACTION,Rare transition: DYNAMIC_QUERY -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0224)
10.143.2.91_20220121123951_000000,10.143.2.91_20220121123951_000000,1.99,AUTH_ACTION -> GENERIC_GET -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
::1_20220122134655_000000,::1_20220122134655_000000,1.96,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.91_20220122142105_000000,10.143.2.91_20220122142105_000000,1.9,GENERIC_GET -> STATIC_ASSET,Rare transition: DYNAMIC_QUERY -> [SESSION_RESUME]_GENERIC_GET (p=0.0022)
10.143.2.91_20220122082813_000000,10.143.2.91_20220122082813_000000,1.88,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
::1_20220123224009_000000,::1_20220123224009_000000,1.85,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.4_20220121125035_000000,10.143.2.4_20220121125035_000000,1.85,SENSITIVE_FILE_ACCESS -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_GENERIC_GET (p=0.0515)
::1_20220121194312_000000,::1_20220121194312_000000,1.82,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.25_20220123200546_000000,10.143.2.25_20220123200546_000000,1.81,ADMIN_ACTION -> STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.3.65_20220121161734_000000,10.143.3.65_20220121161734_000000,1.79,GENERIC_GET -> AUTH_ACTION -> SENSITIVE_FILE_ACCESS,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0124)
::1_20220122125748_000000,::1_20220122125748_000000,1.76,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
172.19.131.174_20220123171833_000000,172.19.131.174_20220123171833_000000,1.75,STATIC_ASSET -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_ADMIN_ACTION (p=0.0846)
10.143.2.25_20220122133619_000000,10.143.2.25_20220122133619_000000,1.67,ADMIN_ACTION -> STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.91_20220123172930_000000,10.143.2.91_20220123172930_000000,1.66,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> STATIC_ASSET -> FORM_SUBMISSION,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_FORM_SUBMISSION (p=0.0260)
10.143.2.91_20220123082652_000000,10.143.2.91_20220123082652_000000,1.59,GENERIC_GET -> FORM_SUBMISSION -> SENSITIVE_FILE_ACCESS,Rare transition: FORM_SUBMISSION -> [SESSION_RESUME]_STATIC_ASSET (p=0.0006)
::1_20220121114624_000000,::1_20220121114624_000000,1.58,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
172.19.131.174_20220123173827_000000,172.19.131.174_20220123173827_000000,1.57,SENSITIVE_FILE_ACCESS -> GENERIC_GET -> FORM_SUBMISSION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
::1_20220122065955_000000,::1_20220122065955_000000,1.56,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_WAF_ALERT (p=0.0019)
10.143.3.65_20220124161704_000000,10.143.3.65_20220124161704_000000,1.54,STATIC_ASSET -> GENERIC_GET -> DYNAMIC_QUERY -> ADMIN_ACTION,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220123055017_000000,::1_20220123055017_000000,1.53,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.91_20220124075823_000000,10.143.2.91_20220124075823_000000,1.53,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220124161448_000000,::1_20220124161448_000000,1.52,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220122152735_000000,::1_20220122152735_000000,1.5,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220123152758_000000,::1_20220123152758_000000,1.47,GENERIC_GET,Rare transition: WAF_ALERT -> [SESSION_RESUME]_GENERIC_GET (p=0.0327)
10.143.2.91_20220123063613_000000,10.143.2.91_20220123063613_000000,1.46,GENERIC_GET -> STATIC_ASSET -> CLIENT_ERR,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220121121601_000000,::1_20220121121601_000000,1.45,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.25_20220123210840_000000,10.143.2.25_20220123210840_000000,1.45,GENERIC_GET -> DYNAMIC_QUERY -> STATIC_ASSET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_DYNAMIC_QUERY (p=0.0019)
10.143.3.65_20220121151752_000000,10.143.3.65_20220121151752_000000,1.44,STATIC_ASSET -> AUTH_ACTION -> GENERIC_GET,Rare transition: AUTH_ACTION -> [HUMAN_SPEED]_GENERIC_GET (p=0.0101)
10.143.2.91_20220121184555_000000,10.143.2.91_20220121184555_000000,1.43,FORM_SUBMISSION -> GENERIC_GET,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_GENERIC_GET (p=0.0241)
10.143.2.91_20220121095031_000000,10.143.2.91_20220121095031_000000,1.43,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220123062348_000000,::1_20220123062348_000000,1.42,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_WAF_ALERT (p=0.0019)
::1_20220124070747_000000,::1_20220124070747_000000,1.41,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220121182747_000000,::1_20220121182747_000000,1.41,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220122150443_000000,::1_20220122150443_000000,1.41,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220123164928_000000,::1_20220123164928_000000,1.4,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220122172417_000000,::1_20220122172417_000000,1.39,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.3.65_20220122124224_000000,10.143.3.65_20220122124224_000000,1.39,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.3.65_20220121055522_000000,10.143.3.65_20220121055522_000000,1.38,GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220124181149_000000,::1_20220124181149_000000,1.37,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220123184530_000000,::1_20220123184530_000000,1.37,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220121175008_000000,::1_20220121175008_000000,1.37,WAF_ALERT -> GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220124035702_000000,::1_20220124035702_000000,1.36,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
10.143.3.65_20220121122333_000000,10.143.3.65_20220121122333_000000,1.36,GENERIC_GET -> AUTH_ACTION -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
::1_20220124104744_000000,::1_20220124104744_000000,1.35,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
::1_20220121134146_000000,::1_20220121134146_000000,1.35,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220123145148_000000,::1_20220123145148_000000,1.34,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.91_20220123142741_000000,10.143.2.91_20220123142741_000000,1.31,STATIC_ASSET -> CLIENT_ERR,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220124121458_000000,::1_20220124121458_000000,1.31,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220123183756_000000,::1_20220123183756_000000,1.3,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
10.143.3.65_20220121080909_000000,10.143.3.65_20220121080909_000000,1.3,STATIC_ASSET -> CLIENT_ERR,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
::1_20220124185842_000000,::1_20220124185842_000000,1.29,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
::1_20220124113742_000000,::1_20220124113742_000000,1.29,WAF_ALERT -> GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.91_20220121094103_000000,10.143.2.91_20220121094103_000000,1.27,GENERIC_GET -> STATIC_ASSET -> CLIENT_ERR,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.91_20220121142310_000000,10.143.2.91_20220121142310_000000,1.27,STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.91_20220121102809_000000,10.143.2.91_20220121102809_000000,1.27,FORM_SUBMISSION -> STATIC_ASSET,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_GENERIC_GET (p=0.0241)
::1_20220122142406_000000,::1_20220122142406_000000,1.27,GENERIC_GET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_GENERIC_GET (p=0.0341)
10.143.2.91_20220121183537_000000,10.143.2.91_20220121183537_000000,1.25,SENSITIVE_FILE_ACCESS -> GENERIC_GET -> FORM_SUBMISSION,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_FORM_SUBMISSION (p=0.0260)
10.143.3.65_20220123082856_000000,10.143.3.65_20220123082856_000000,1.24,GENERIC_GET -> STATIC_ASSET -> SENSITIVE_FILE_ACCESS -> FORM_SUBMISSION,Rare transition: SENSITIVE_FILE_ACCESS -> [MACHINE_SPEED]_FORM_SUBMISSION (p=0.0236)
::1_20220123141455_000000,::1_20220123141455_000000,1.22,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
::1_20220121063001_000000,::1_20220121063001_000000,1.22,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
::1_20220123123532_000000,::1_20220123123532_000000,1.2,GENERIC_GET,Rare transition: GENERIC_GET -> [MACHINE_SPEED]_WAF_ALERT (p=0.0260)
10.143.2.91_20220121175129_000000,10.143.2.91_20220121175129_000000,1.19,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> STATIC_ASSET -> FORM_SUBMISSION,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
::1_20220122133059_000000,::1_20220122133059_000000,1.19,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
10.143.3.65_20220122110342_000000,10.143.3.65_20220122110342_000000,1.18,GENERIC_GET -> AUTH_ACTION -> SENSITIVE_FILE_ACCESS,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0029)
10.143.2.91_20220121105633_000000,10.143.2.91_20220121105633_000000,1.17,SENSITIVE_FILE_ACCESS -> GENERIC_GET -> STATIC_ASSET -> FORM_SUBMISSION,Rare transition: SENSITIVE_FILE_ACCESS -> [HUMAN_SPEED]_GENERIC_GET (p=0.0241)
172.19.131.174_20220121073041_000000,172.19.131.174_20220121073041_000000,1.16,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
::1_20220121193005_000000,::1_20220121193005_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121055532_000000,::1_20220121055532_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220122054227_000000,::1_20220122054227_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121104556_000000,::1_20220121104556_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121075339_000000,::1_20220121075339_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220123163054_000000,::1_20220123163054_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220122131857_000000,::1_20220122131857_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220122063423_000000,::1_20220122063423_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220122141007_000000,::1_20220122141007_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121082844_000000,::1_20220121082844_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220122055146_000000,::1_20220122055146_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121080915_000000,::1_20220121080915_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220123135419_000000,::1_20220123135419_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121101543_000000,::1_20220121101543_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220124160729_000000,::1_20220124160729_000000,1.14,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_GENERIC_GET (p=0.1350)
::1_20220121181157_000000,::1_20220121181157_000000,1.13,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
10.143.2.25_20220121122853_000000,10.143.2.25_20220121122853_000000,1.13,STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
::1_20220124210100_000000,::1_20220124210100_000000,1.12,GENERIC_GET -> WAF_ALERT,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
172.19.130.68_20220124141937_000000,172.19.130.68_20220124141937_000000,1.11,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_GENERIC_GET (p=0.0252)
10.143.3.65_20220122174741_000000,10.143.3.65_20220122174741_000000,1.11,GENERIC_GET -> STATIC_ASSET,Rare transition: GENERIC_GET -> [SESSION_RESUME]_STATIC_ASSET (p=0.0012)
::1_20220121203631_000000,::1_20220121203631_000000,1.1,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
10.143.3.65_20220124104952_000000,10.143.3.65_20220124104952_000000,1.08,GENERIC_GET -> STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: DYNAMIC_QUERY -> [MACHINE_SPEED]_FORM_SUBMISSION (p=0.0088)
::1_20220122061241_000000,::1_20220122061241_000000,1.07,GENERIC_GET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_WAF_ALERT (p=0.0458)
172.19.131.174_20220121104550_000000,172.19.131.174_20220121104550_000000,1.05,GENERIC_GET -> AUTH_ACTION -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_SERVER_INTERNAL_ERROR (p=0.0004)
10.143.2.25_20220121160216_000000,10.143.2.25_20220121160216_000000,1.02,DYNAMIC_QUERY -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
10.143.3.65_20220123112242_000000,10.143.3.65_20220123112242_000000,1.02,SENSITIVE_FILE_ACCESS -> FORM_SUBMISSION -> GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_GENERIC_GET (p=0.0204)
10.143.2.91_20220124130535_000000,10.143.2.91_20220124130535_000000,1.0,FORM_SUBMISSION -> GENERIC_GET -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.91_20220123075716_000000,10.143.2.91_20220123075716_000000,1.0,FORM_SUBMISSION -> SENSITIVE_FILE_ACCESS -> STATIC_ASSET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_FORM_SUBMISSION (p=0.0512)
172.19.131.174_20220123104833_000000,172.19.131.174_20220121104550_000000,0.99,SENSITIVE_FILE_ACCESS -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0019)
10.143.3.65_20220122135432_000000,10.143.3.65_20220122135432_000000,0.99,GENERIC_GET -> SENSITIVE_FILE_ACCESS -> FORM_SUBMISSION -> STATIC_ASSET,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.91_20220124140644_000000,10.143.2.91_20220124140644_000000,0.98,GENERIC_GET -> AUTH_ACTION -> SENSITIVE_FILE_ACCESS,Rare transition: GENERIC_GET -> [HUMAN_SPEED]_AUTH_ACTION (p=0.0085)
10.143.2.91_20220123113628_000000,10.143.2.91_20220123113628_000000,0.95,FORM_SUBMISSION -> STATIC_ASSET -> GENERIC_GET,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_CLIENT_ERR (p=0.0027)
10.143.2.91_20220124131736_000000,10.143.2.91_20220124131736_000000,0.94,STATIC_ASSET,Rare transition: STATIC_ASSET -> [MACHINE_SPEED]_CLIENT_ERR (p=0.0078)
10.143.2.25_20220123193843_000000,10.143.2.25_20220123193843_000000,0.93,STATIC_ASSET -> DYNAMIC_QUERY,Rare transition: STATIC_ASSET -> [HUMAN_SPEED]_ADMIN_ACTION (p=0.0097)
